standard_time_label,standard_time_ms,master_category,master_time_adjustment_ms,,,,,
11:13,673000,MasF,72000,,,,,
11:13,673000,MasG,92000,,,,,
11:13,673000,MasH,116000,,,,,
11:13,673000,MasI,141000,,,,,
11:13,673000,MasJ,166000,,,,,
11:14,674000,MasB,6000,,,,,
11:14,674000,MasC,19000,,,,,
11:14,674000,MasD,36000,,,,,
11:14,674000,MasE,53000,,,,,
11:14,674000,MasF,72000,,,,,
11:14,674000,MasG,92000,,,,,
11:14,674000,MasH,116000,,,,,
11:14,674000,MasI,141000,,,,,
11:14,674000,MasJ,166000,,,,,
11:15,675000,MasB,6000,,,,,
11:15,675000,MasC,19000,,,,,
11:15,675000,MasD,37000,,,,,
11:15,675000,MasE,53000,,,,,
11:15,675000,MasF,72000,,,,,
11:15,675000,MasG,92000,,,,,
11:15,675000,MasH,116000,,,,,
11:15,675000,MasI,141000,,,,,
11:15,675000,MasJ,166000,,,,,
11:16,676000,MasB,6000,,,,,
11:16,676000,MasC,19000,,,,,
11:16,676000,MasD,37000,,,,,
11:16,676000,MasE,53000,,,,,
11:16,676000,MasF,72000,,,,,
11:16,676000,MasG,92000,,,,,
11:16,676000,MasH,116000,,,,,
11:16,676000,MasI,141000,,,,,
11:16,676000,MasJ,166000,,,,,
11:17,677000,MasB,6000,,,,,
11:17,677000,MasC,19000,,,,,
11:17,677000,MasD,37000,,,,,
11:17,677000,MasE,53000,,,,,
11:17,677000,MasF,72000,,,,,
11:17,677000,MasG,92000,,,,,
11:17,677000,MasH,116000,,,,,
11:17,677000,MasI,141000,,,,,
11:17,677000,MasJ,167000,,,,,
11:18,678000,MasB,6000,,,,,
11:18,678000,MasC,19000,,,,,
11:18,678000,MasD,37000,,,,,
11:18,678000,MasE,53000,,,,,
11:18,678000,MasF,72000,,,,,
11:18,678000,MasG,93000,,,,,
11:18,678000,MasH,116000,,,,,
11:18,678000,MasI,141000,,,,,
11:18,678000,MasJ,167000,,,,,
11:19,679000,MasB,6000,,,,,
11:19,679000,MasC,19000,,,,,
11:19,679000,MasD,37000,,,,,
11:19,679000,MasE,53000,,,,,
11:19,679000,MasF,72000,,,,,
11:19,679000,MasG,93000,,,,,
11:19,679000,MasH,116000,,,,,
11:19,679000,MasI,142000,,,,,
11:19,679000,MasJ,167000,,,,,
11:20,680000,MasB,6000,,,,,
11:20,680000,MasC,19000,,,,,
